"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"input_reduce_fusion_318.kd",30000,126784008,4226,0.14668470693970015
"wrapped_transpose_65.kd",20000,126254615,6312,0.14607221757068659
"wrapped_transpose_47.kd",10936,123672504,11308,0.14308480455783423
"input_reduce_fusion_134.kd",25000,123066404,4922,0.1423835678460547
"input_reduce_fusion_432.kd",25000,122111249,4884,0.1412784865864609
"input_reduce_fusion_345.kd",35000,119938776,3426,0.13876501055453572
"loop_maximum_fusion_25.kd",25000,115288859,4611,0.13338521760431654
"loop_compare_maximum_fusion_3.kd",5000,114196843,22839,0.1321217929069883
"loop_multiply_fusion_2.kd",5936,112362772,18929,0.12999983627077277
"wrapped_transpose_108.kd",25000,112223252,4488,0.12983841646211497
"wrapped_transpose_70.kd",25000,110277325,4411,0.127587046307284
"input_reduce_fusion_476.kd",25000,109857657,4394,0.12710150496367884
"loop_multiply_fusion_19.kd",20000,108261668,5413,0.1252550009570853
"loop_pad_fusion_3.kd",5000,108198283,21639,0.12518166670700093
"loop_add_fusion_27.kd",35000,103191572,2948,0.11938907545395604
"input_reduce_fusion_242.kd",20000,97885025,4894,0.11324958433172598
"loop_add_fusion_10.kd",20000,96882605,4844,0.1120898191038394
"input_transpose_fusion_31.kd",20000,96745351,4837,0.11193102097871385
"Cijk_Ailk_Bljk_SB_MT16x16x64_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA1_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA1_GLVWB1_GRCGA1_GRCGB1_GRPM1_GRVW1_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPPA0_LBSPPB256_LPA0_LPB2_LDL1_LRVW2_LWPMn1_LDW0_FMA_MIAV1_MDA2_MO40_MMFGLC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW1_SNLL0_TSGRA0_TSGRB0_TT1_16_TLDS1_UMLDSA0_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA0_WSGRB1_WS64_WG16_4_4_WGM2.kd",5470,96322792,17609,0.11144213484821913
"loop_reduce_window_fusion_1.kd",5000,95678146,19135,0.11069630174922253
"input_reduce_fusion_141.kd",20000,95578147,4778,0.11058060636901919
"loop_multiply_fusion_55.kd",5000,95174164,19034,0.11011321202726893
"input_reduce_fusion_384.kd",30000,94655266,3155,0.10951286500983123
"wrapped_transpose_69.kd",5000,94344551,18868,0.10915337851436747
"loop_multiply_fusion_48.kd",25000,93817671,3752,0.10854379659933297
"input_reduce_fusion_454.kd",5000,93244717,18648,0.10788090866176336
"input_reduce_fusion_498.kd",15000,92815430,6187,0.10738423846824792
"loop_transpose_fusion_7.kd",25000,91428239,3657,0.10577930651733192
"input_transpose_fusion_22.kd",20000,89054152,4452,0.10303257006895941
"loop_maximum_fusion_34.kd",30468,87361683,2867,0.10107444204330553
"loop_maximum_fusion_42.kd",35000,84043602,2401,0.09723553722585263
"input_maximum_transpose_fusion_2.kd",15000,79795285,5319,0.092320381568903
"loop_pad_fusion_4.kd",5000,79034313,15806,0.09143996331607952
"loop_transpose_fusion_1.kd",5000,78875934,15775,0.0912567242974771
"input_reduce_fusion_515.kd",20000,77426475,3871,0.08957975042679688
"loop_transpose_fusion.kd",5468,76319679,13957,0.08829922578127508
"input_reduce_fusion_507.kd",20000,75464261,3773,0.08730953677695726
"loop_select_fusion_3.kd",15000,75356405,5023,0.08718475111982857
"input_reduce_fusion_142.kd",15000,74230660,4948,0.08588230313747867
"wrapped_transpose_94.kd",20000,72415938,3620,0.08378273262423992
"loop_add_fusion_5.kd",15000,71626016,4775,0.0828688202239061
"wrapped_transpose_83.kd",20000,68695291,3434,0.07947807288496843
"input_transpose_fusion_18.kd",15000,68266344,4551,0.07898179605967937
"loop_maximum_fusion_33.kd",5468,66324910,12129,0.07673562415026339
"Cijk_Ailk_Bjlk_SB_MT16x64x32_MI16x16x4x1_SE_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS0_ELFLR0_EMLL0_FSSC10_FL0_GLVWA1_GLVWB1_GRCGA1_GRCGB1_GRPM1_GRVW1_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPPA0_LBSPPB0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_MO40_MMFGLC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR1_PKA0_SIA3_SLW1_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT1_16_TLDS0_UMLDSA0_UMLDSB0_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA1_WSGRB1_WS64_WG16_16_1_WGM15.kd",6146,64692903,10526,0.07484744856491245
"input_reduce_fusion_458.kd",5000,63132587,12626,0.07304221698402312
"loop_add_multiply_fusion_4.kd",5000,62855465,12571,0.07272159642629045
"input_multiply_transpose_fusion_7.kd",10000,62434815,6243,0.07223491894269027
